,0,1,2,3,4,5,6
BALANCE_FREQUENCY,0.15359177046953337,0.5444741342538342,-0.18072754611207245,-0.5386734004874335,0.034508325612694506,-0.2797349956334061,0.09596601050899868
ONEOFF_PURCHASES,0.6513363300393762,0.28691640200580565,0.5411079675976603,0.04004130417226508,-0.25731493905670744,-0.10430600832382551,-0.00033310588854190226
INSTALLMENTS_PURCHASES,0.7187154406664634,0.20069795664914042,-0.25597122214775114,0.14985482941676323,-0.12544594435044976,0.08072808423824958,0.39826911307794893
PURCHASES_FREQUENCY,0.8465049690570244,0.024082868363507766,-0.24258312824408293,-0.06937782474473941,0.33131509062063813,0.06511938692636841,-0.02295580957906062
ONEOFF_PURCHASES_FREQUENCY,0.6434621531518374,0.23404741311022978,0.5221772734942642,-0.11085133027840009,0.041996979448805954,-0.10296449505486464,-0.2978288749900248
PURCHASES_INSTALLMENTS_FREQUENCY,0.7342563657892843,0.023516652178987928,-0.56972852729698,0.041744741163213375,0.20196855062424773,0.1346748605834133,0.0900616126041603
CASH_ADVANCE_FREQUENCY,-0.44451326461411445,0.7574309833606703,0.021191983177132615,0.2635988866225217,0.20746960745678347,-0.005094186541998432,-0.0173640471703939
CASH_ADVANCE_TRX,-0.372223708576119,0.7517152650205897,0.02508974449009555,0.3176220670551136,0.29151691909058064,0.007475199649957719,-0.017104149792365537
PURCHASES_TRX,0.832277490154659,0.3049414903001045,0.03486986027422003,0.037282958253494966,-0.1153784235347864,0.03394857989069001,0.10612187419360894
PRC_FULL_PAYMENT,0.37337625834683685,-0.30781141281072466,-0.03285016543769201,0.37343501715408883,0.21204453309397386,-0.6805975013813528,0.10529019423226425
MONTHLY_AVG_PURCHASE,0.8033182784717339,0.3070675251825032,0.2915614030832904,0.10130335883363452,-0.24663410371597524,-0.03953902196970311,0.20287470392795726
MONTHLY_AVG_CASH_ADVANCE,-0.36376437607990825,0.6482182500292955,0.03569015984699849,0.36985215539032595,0.23262002218717096,0.0007408450537187042,0.023905302605324016
LIMIT_USAGE,-0.2996006681829992,0.5877417953993974,-0.08146426230592456,-0.4659655798169238,-0.20631293556000502,0.17828656745636337,0.17535648675366114
PAYMENT_MINPAYMENT,0.1605203293048215,-0.21645023977371994,0.1998455502714786,0.6426614055229926,-0.16099368142199952,0.380881853760033,0.06616643746543381
PURCHASE_TYPE_NONE,-0.6305817975471026,0.22295623656413652,-0.12487007671407473,0.19178401831443243,-0.5790358238746555,-0.2634841283912495,-0.016311503130581842
PURCHASE_TYPE_ONEOFF_INSTALLMENT,0.6639291336494583,0.27996561585986013,-0.10693218604925239,-0.003160128845985068,-0.05785667377896934,0.10140693664831393,-0.5638521012850735
PURCHASE_TYPE_ONE_OFF,-0.17685296635959194,-0.16565314046126212,0.7718460785846871,-0.2642113068683267,0.3713573130542917,0.0998503089301555,0.25913733364204583
